company_name,fund_name,management_fees,sales_fees,custody_fees,office_admin_fees,other_expenses,ter,front_end_commission,back_end_commission,trading_fee_ratio
미래에셋자산운용,미래에셋TIGER미국S&P500증권상장지수투자신탁(주식),0.0002,0.0001,0.005,0.0015,0.4794,0.0068,0.0600,0.0700,0.0376
엔에이치아문디자산운용,NH-AmundiHANARO미국S&P500증권상장지수투자신탁(주식),0.02,0.005,0.01,0.01,0.4794,0.045,0.5200,0.5700,0.0221
우리자산운용,우리WON미국S&P500증권상장지수투자신탁(주식),0.029,0.001,0.01,0.01,0.4794,0.05,0.1400,0.1900,0.1143
케이비자산운용,KBRISE미국S&P500증권상장지수투자신탁(주식),0.0001,0.0001,0.0035,0.001,0.4794,0.0047,0.0700,0.0800,0.0593
케이비자산운용,KBRISE미국S&P500증권상장지수투자신탁(주식)(H),0.0001,0.0001,0.0035,0.001,0.4794,0.0047,0.1600,0.1600,0.1036
한국투자신탁운용,한국투자ACE미국S&P500증권상장지수투자신탁(주식),0.0001,0.0001,0.0035,0.001,0.4794,0.0047,0.0700,0.0700,0.0308
한화자산운용,한화PLUS미국S&P500증권상장지수투자신탁(주식),0.05,0.001,0.01,0.009,0.4794,0.07,0.1900,0.2600,0.2194
